symbol,exchange
BTC-USD,CRYPTO
ETH-USD,CRYPTO
A,NYSE
AA,NYSE
AAA,AMEX
AAAU,AMEX
AAC,NYSE
AAC.U,NYSE
AAC.W,NYSE
AACG,NASDAQ
AACI,NASDAQ
AACIU,NASDAQ
AACIW,NASDAQ
AACQ,NASDAQ
AACQU,NASDAQ
AACQW,NASDAQ
AADI,NASDAQ
AADR,AMEX
AADR,NASDAQ
AAI-B,NYSE
AAI-C,NYSE
AAIC,NYSE
AAIN,NYSE
AAL,NASDAQ
AAM-A,NYSE
AAM-B,NYSE
AAMC,AMEX
AAME,NASDAQ
AAN,NYSE
AAOI,NASDAQ
AAON,NASDAQ
AAP,NYSE
AAPL,NASDAQ
AAQ.U,NYSE
AAQ.W,NYSE
AAQC,NYSE
AAT,NYSE
AATC,NASDAQ
AAU,AMEX
AAWW,NASDAQ
AAXJ,NASDAQ
AAXN,NASDAQ
AB,NYSE
ABB,NYSE
ABBV,NYSE
ABC,NYSE
ABCB,NASDAQ
ABCL,NASDAQ
ABCM,NASDAQ
ABEO,NASDAQ
ABEQ,AMEX
ABEV,NYSE
ABG,NYSE
ABGI,NASDAQ
ABIO,NASDAQ
ABM,NYSE
ABMD,NASDAQ
ABNB,NASDAQ
ABOS,NASDAQ
ABR,NYSE
ABR-A,NYSE
ABR-B,NYSE
ABR-C,NYSE
ABR-D,NYSE
ABR-E,NYSE
ABR-F,NYSE
ABSI,NASDAQ
ABST,NASDAQ
ABT,NYSE
ABTX,NASDAQ
ABUS,NASDAQ
ABVC,NASDAQ
AC,NYSE
ACA,NYSE
ACA.U,NYSE
ACA.W,NYSE
ACAB,NASDAQ
ACABU,NASDAQ
ACABW,NASDAQ
ACAC,NASDAQ
ACACU,NASDAQ
ACACW,NASDAQ
ACAD,NASDAQ
ACAH,NASDAQ
ACAHU,NASDAQ
ACAHW,NASDAQ
ACAM,NASDAQ
ACAMU,NASDAQ
ACAMW,NASDAQ
ACAQ,NYSE
ACAX,NASDAQ
ACAXR,NASDAQ
ACAXU,NASDAQ
ACAXW,NASDAQ
ACB,NYSE
ACB,NASDAQ
ACBA,NASDAQ
ACBAU,NASDAQ
ACBAW,NASDAQ
ACBI,NASDAQ
ACC,NYSE
ACCD,NASDAQ
ACCO,NYSE
ACD.U,NYSE
ACD.W,NYSE
ACDI,NYSE
ACEL,NYSE
ACER,NASDAQ
ACES,AMEX
ACET,NASDAQ
ACEV,NASDAQ
